Date,Type de données,Energie journalière (MWh)
2017-01-01,Définitives,1652084
2017-01-02,Définitives,1768332
2017-01-03,Définitives,1886120
2017-01-04,Définitives,1923775
2017-01-05,Définitives,1887470
2017-01-06,Définitives,1961544
2017-01-07,Définitives,1879590
2017-01-08,Définitives,1698937
2017-01-09,Définitives,1807199
2017-01-10,Définitives,1803164
2017-01-11,Définitives,1765800
2017-01-12,Définitives,1733264
2017-01-13,Définitives,1796084
2017-01-14,Définitives,1707820
2017-01-15,Définitives,1667470
2017-01-16,Définitives,1835692
2017-01-17,Définitives,1975394
2017-01-18,Définitives,2063860
2017-01-19,Définitives,2080679
2017-01-20,Définitives,2056026
2017-01-21,Définitives,1901229
2017-01-22,Définitives,1820337
2017-01-23,Définitives,1963596
2017-01-24,Définitives,2008841
2017-01-25,Définitives,2045089
2017-01-26,Définitives,2037997
2017-01-27,Définitives,1914378
2017-01-28,Définitives,1637799
2017-01-29,Définitives,1560208
2017-01-30,Définitives,1685186
2017-01-31,Définitives,1615663
2017-02-01,Définitives,1587797
2017-02-02,Définitives,1581535
2017-02-03,Définitives,1597002
2017-02-04,Définitives,1495134
2017-02-05,Définitives,1459702
2017-02-06,Définitives,1668140
2017-02-07,Définitives,1661461
2017-02-08,Définitives,1700957
2017-02-09,Définitives,1761520
2017-02-10,Définitives,1778363
2017-02-11,Définitives,1678259
2017-02-12,Définitives,1561510
2017-02-13,Définitives,1635667
2017-02-14,Définitives,1604481
2017-02-15,Définitives,1533816
2017-02-16,Définitives,1526336
2017-02-17,Définitives,1527219
2017-02-18,Définitives,1417728
2017-02-19,Définitives,1386442
2017-02-20,Définitives,1531984
2017-02-21,Définitives,1505954
2017-02-22,Définitives,1496856
2017-02-23,Définitives,1514725
2017-02-24,Définitives,1528219
2017-02-25,Définitives,1447953
2017-02-26,Définitives,1350655
2017-02-27,Définitives,1520723
2017-02-28,Définitives,1609253
2017-03-01,Définitives,1621417
2017-03-02,Définitives,1537012
2017-03-03,Définitives,1492930
2017-03-04,Définitives,1380879
2017-03-05,Définitives,1390427
2017-03-06,Définitives,1567182
2017-03-07,Définitives,1596531
2017-03-08,Définitives,1569335
2017-03-09,Définitives,1462892
2017-03-10,Définitives,1403946
2017-03-11,Définitives,1248443
2017-03-12,Définitives,1194818
2017-03-13,Définitives,1373544
2017-03-14,Définitives,1406364
2017-03-15,Définitives,1382674
2017-03-16,Définitives,1351004
2017-03-17,Définitives,1333829
2017-03-18,Définitives,1256204
2017-03-19,Définitives,1169874
2017-03-20,Définitives,1346391
2017-03-21,Définitives,1392448
2017-03-22,Définitives,1447198
2017-03-23,Définitives,1459466
2017-03-24,Définitives,1452400
2017-03-25,Définitives,1275315
2017-03-26,Définitives,1123878
2017-03-27,Définitives,1296919
2017-03-28,Définitives,1290906
2017-03-29,Définitives,1269235
